"","CatSpeSpeciesRef","BandNumber","Date","Sex","Age","CatSampleID","LocRegionRef","LocLon","LocLat","AIV","AIVAb","CatAgeAgeRef","SpeOrder","lat","lon","Year","Month","Year2","Season","Ecotype","group","Species","Order"
"87","Australian shelduck","12153242",2012-04-16,"F","A","3203","Melbourne Western Treatment Plant",144.65,-37.99,NA,1,"1+","Anseriformes",-37.99,144.65,2012,4,"2011","W","Temp","Duck","Australian shelduck","Anseriformes"
"88","Australian shelduck","12158168",2014-02-05,"M","A","6637","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2014,2,"2013","S","Temp","Duck","Australian shelduck","Anseriformes"
"89","Australian shelduck",NA,2017-06-02,"F",NA,"10604","Carlisle river",143.421944,-38.610556,0,NA,"U","Anseriformes",-38.61,143.42,2017,6,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"90","Australian shelduck",NA,2018-05-20,"F","A","11478","Apsley",141.386109,-36.94001,0,NA,"1+","Anseriformes",-36.94,141.39,2018,5,"2017","W","Temp","Duck","Australian shelduck","Anseriformes"
"91","Australian shelduck",NA,2019-03-16,"F",NA,"11816","Coorong",139.029,-35.596,0,NA,"U","Anseriformes",-35.6,139.03,2019,3,"2018","W","Temp","Duck","Australian shelduck","Anseriformes"
"92","Australian shelduck",NA,2018-05-19,"F","A","11467","Apsley",141.386109,-36.94001,0,NA,"1+","Anseriformes",-36.94,141.39,2018,5,"2017","W","Temp","Duck","Australian shelduck","Anseriformes"
"93","Australian shelduck",NA,2017-06-02,"F",NA,"10610","Carlisle river",143.421944,-38.610556,0,NA,"U","Anseriformes",-38.61,143.42,2017,6,"2016","W","Temp","Duck","Australian shelduck","Anseriformes"
"94","Australian shelduck","12153234",2012-02-22,"F","A","2059","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2012,2,"2011","S","Temp","Duck","Australian shelduck","Anseriformes"
"95","Australian shelduck","12158162",2014-01-31,"F","A","6603","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2014,1,"2013","S","Temp","Duck","Australian shelduck","Anseriformes"
"96","Australian shelduck","12157262",2012-12-10,"F","A","3782","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2012,12,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"97","Australian shelduck","12153228",2012-02-21,"F","A","2049","Melbourne Western Treatment Plant",144.65,-37.99,0,1,"1+","Anseriformes",-37.99,144.65,2012,2,"2011","S","Temp","Duck","Australian shelduck","Anseriformes"
"98","Australian shelduck","12157263",2014-02-05,"M","A","6642","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2014,2,"2013","S","Temp","Duck","Australian shelduck","Anseriformes"
"99","Australian shelduck","12157274",2012-12-17,"M","A","3883","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"1+","Anseriformes",-37.99,144.65,2012,12,"2012","S","Temp","Duck","Australian shelduck","Anseriformes"
"100","Australian shelduck","11134101",2014-01-29,"M",NA,"6595","Melbourne Western Treatment Plant",144.65,-37.99,0,0,"U","Anseriformes",-37.99,144.65,2014,1,"2013","S","Temp","Duck","Australian shelduck","Anseriformes"
